pair,last,third_last,fifth_last
tibia↔femur,0.8828617930412292,0.9748666286468506,0.866305947303772
tibia↔background,0.20565678179264069,0.6847617626190186,0.16019798815250397
femur↔background,0.3282759487628937,0.6530256271362305,0.02076765149831772
